Table                                                  
By continen                                            
Country/RegTotal PopulMuslim PopuMuslim percPercentage Sources    
Malta Malta449043     11675      2.6        < 0.1      [215][216] 
Marshall Is75684      < 1,000    < 0.1      < 0.1      [217]      
Martinique 385551     < 1,000    0.2        < 0.1      
Mauritania 3840429    3840429    100        0.2        [218]      
Mauritius M1364283    236020     17.3       < 0.1      [219]      
Mayotte May256518     253439     97         < 0.1      [220]      
Mexico Mexi131959205  5500       0.01       < 0.01     [221][222] 
Moldova Mol3437720    15000      0.4        < 0.1      [223][224] 
Monaco Mona30727      < 1,000    0.8        < 0.1      [225][226] 
Mongolia Mo3103428    150000     5          < 0.1      [227][228] 
Montenegro 614249     122849     19.1       < 0.1      [229]      
Montserrat 5315       < 1,000    0.1        < 0.1      [230]      
Morocco Mor38314130   37930989   99         2          [231]      
Mozambique 27233789   3830063    17.9       0.3        [232][233] 
Namibia Nam2413643    9654       0.4        < 0.1      
Nauru Nauru10084      < 1,000    < 0.1      < 0.1      
Nepal Nepal29218867   1292909    4.2        0.1        [234]      
Netherlands17254300   880000     5.1        0.1        [235]      
Netherlands304759     < 1,000    0.2        < 0.1      
New Caledon278500     7000       2.8        < 0.1      
New Zealand4903800    41000      0.9        < 0.1      
Nicaragua N6284757    1000       < 0.1      < 0.1      
Niger Niger21466863   21101926   98.3       1          [236]      
Nigeria Nig200000000  95,000,000 47.6-51.6  5.3        [31][237]  
Niue Niue  1611       < 1,000    < 0.1      < 0.1      
North Korea25610672   3000       0.1        < 0.1      
North Maced2118945    705608     33.3       < 0.1      [238]      
Northern Ma56200      < 1,000    0.7        < 0.1      
Norway Norw5312343    100,000 - 15.7        < 0.1      [62]       
Oman Oman  4633752    2427000    85.9       0.2        [239]      
Pakistan Pa207774520  200400000  96.5       11.1       [240][241] 
Palau Palau17900      < 1,000    < 0.1      < 0.1      
State of Pa4780978    4298000    97.5       0.3        
Panama Pana4158783    25000      0.7        < 0.1      
Papua New G8558800    2000       < 0.1      < 0.1      
Paraguay Pa7052983    1000       < 0.1      < 0.1      
Peru Peru  31237385   < 1,000    < 0.1      < 0.1      
Philippines106463000  5,127,084 -5 - 11     0.3 - 0.6  [242][243] 
Poland Pola38430000   6,796[244] 0.02       < 0.1      
Portugal Po10291027   65000      0.4        < 0.1      
Puerto Rico3337177    1000       < 0.1      < 0.1      
Qatar Qatar2450285    1566786    77.5       0.1        [245]      
Republic of5399895    107997     2          < 0.1      [246]      
