"N","CN","CONTINENT","COUNTRY","2017","S","2019","S","","","","",""
"138","5","EUROPE","Azerbaijan ","LEGAL","2","LEGAL","2","","","","",""
"139","6","EUROPE","Belarus ","LEGAL","2","LEGAL","2","","","","",""
"140","7","EUROPE","Belgium ","LEGAL","2","LEGAL","2","","","","",""
"141","8","EUROPE","Bosnia and Herzegovina","LEGAL","2","LEGAL","2","","","","",""
"142","9","EUROPE","Bulgaria ","LEGAL","2","LEGAL","2","","","","",""
"143","10","EUROPE","Croatia ","LEGAL","2","LEGAL","2","","","","",""
"144","11","EUROPE","Cyprus ","LEGAL","2","LEGAL","2","","","","",""
"145","12","EUROPE","Czech Republic ","LEGAL","2","LEGAL","2","","","","",""
"146","13","EUROPE","Denmark ","LEGAL","2","LEGAL","2","","","","",""
"147","14","EUROPE","Estonia ","LEGAL","2","LEGAL","2","","","","",""
"148","15","EUROPE","Finland ","LEGAL","2","LEGAL","2","","","","",""
"149","16","EUROPE","France ","LEGAL","2","LEGAL","2","","","","",""
"150","17","EUROPE","Georgia ","LEGAL","2","LEGAL","2","","","","",""
"151","18","EUROPE","Germany ","LEGAL","2","LEGAL","2","","","","",""
"152","19","EUROPE","Greece ","LEGAL","2","LEGAL","2","","","","",""
"153","20","EUROPE","Hungary ","LEGAL","2","LEGAL","2","","","","",""
"154","21","EUROPE","Iceland ","LEGAL","2","LEGAL","2","","","","",""
"155","22","EUROPE","Ireland","LEGAL","2","LEGAL","2","","","","",""
"156","23","EUROPE","Italy ","LEGAL","2","LEGAL","2","","","","",""
"157","24","EUROPE","Kosovo ","","2","","2","","","","",""
"158","25","EUROPE","Latvia ","LEGAL","2","LEGAL","2","","","","",""
"159","26","EUROPE","Liechtenstein ","LEGAL","2","LEGAL","2","","","","",""
"160","27","EUROPE","Lithuania ","LEGAL","2","LEGAL","2","","","","",""
"161","28","EUROPE","Luxembourg ","LEGAL","2","LEGAL","2","","","","",""
"163","30","EUROPE","Malta ","LEGAL","2","LEGAL","2","","","","",""
"164","31","EUROPE","Moldova ","LEGAL","2","LEGAL","2","","","","",""
"165","32","EUROPE","Monaco ","LEGAL","2","LEGAL","2","","","","",""
"166","33","EUROPE","Montenegro ","LEGAL","2","LEGAL","2","","","","",""
"167","34","EUROPE","Netherlands ","LEGAL","2","LEGAL","2","","","","",""
"162","29","EUROPE","North Macedonia","LEGAL","2","LEGAL","2","","","","",""
"168","35","EUROPE","Norway ","LEGAL","2","LEGAL","2","","","","",""
"169","36","EUROPE","Poland ","LEGAL","2","LEGAL","2","","","","",""
"170","37","EUROPE","Portugal ","LEGAL","2","LEGAL","2","","","","",""
"171","38","EUROPE","Romania ","LEGAL","2","LEGAL","2","","","","",""
"172","39","EUROPE","Russia","LEGAL","2","LEGAL","2","","","","",""
"173","40","EUROPE","San Marino ","LEGAL","2","LEGAL","2","","","","",""
"174","41","EUROPE","Serbia ","LEGAL","2","LEGAL","2","","","","",""
"175","42","EUROPE","Slovakia ","LEGAL","2","LEGAL","2","","","","",""
"176","43","EUROPE","Slovenia ","LEGAL","2","LEGAL","2","","","","",""
"177","44","EUROPE","Spain","LEGAL","2","LEGAL","2","","","","",""
"178","45","EUROPE","Sweden ","LEGAL","2","LEGAL","2","","","","",""
