"Data Source","World Development Indicators",

"Last Updated Date","2019-04-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Switzerland","CHE","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Channel Islands","CHI","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","91.1284027099609","","","","","","","","","","94.2911376953125","","","","","","","","","","95.7166213989258","","","","","","98.6490097045898","98.5536804199219","","96.703010559082","","96.2670593261719","","96.8741302490234","","","",
"China","CHN","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","65.5050888061523","","","","","","","","77.7850570678711","","","","","","","","","","90.9202117919922","","","","","","","","","","95.1244812011719","","","","","","","","",
"Cote d'Ivoire","CIV","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.1392784118652","","","","","","","","","","36.3502388000488","","48.7407608032227","","","","","","","","","","","","40.9816284179688","","43.9084205627441","","","","",
"Cameroon","CMR","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","41.2162094116211","","","","","","","","","","","","","","","","","","","","","","","","68.4091567993164","","","","","","","70.6799392700195","","","71.2905120849609","","","","","","","","",
"Congo, Dem. Rep.","COD","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.1729888916016","","","","","","61.2055511474609","","","","","75.0171890258789","","","","77.0426788330078","","",
"Congo, Rep.","COG","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.3111724853516","","","","","","","",
"Colombia","COL","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.0630874633789","","","91.207160949707","","","","","","","","92.8037796020508","92.8486633300781","92.2996826171875","92.6517868041992","93.3781814575195","93.2446899414063","93.3723297119141","93.5805282592773","","","94.1862487792969","94.2450485229492","94.6538467407227","","",
"Comoros","COM","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","47.9192314147949","","","","","","","","","","","","","","","","","","","","68.4892272949219","","","","","","","","","","","","49.1961402893066","","","","","","",
"Cabo Verde","CPV","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.7968597412109","","","","","","","","","","","","","","81","","","","","","","","85.3277893066406","","","86.7902908325195","","","",
"Costa Rica","CRI","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","92.6290435791016","","","","","","","","","","","","","","","","94.8681869506836","","","","","","","","","","","97.4065780639648","","","","","","","",
"Caribbean small states","CSS","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.7712936401367","86.815299987793","87.0818710327148","87.3216094970703","87.5622482299805","87.8057708740234","87.5003204345703","88.3203277587891","88.5860290527344","88.8324813842773","89.0721206665039","89.3108978271484","89.5531311035156","89.7662734985352","90.2944793701172","90.5104904174805","90.7151565551758","","","","","","","","","",
"Cuba","CUB","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","97.8466491699219","","","","","","","","","","","","","","","","","","","","","99.799072265625","","","","","","","","","","99.7525329589844","","","","","","",
"Curacao","CUW","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.8678207397461","","","","","","","","","","","",
"Cyprus","CYP","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.3624725341797","","","","","","","","","96.8036270141602","","","","","","","","","","98.6784286499023","","","","","","","",
"Czech Republic","CZE","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Germany","DEU","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominican Republic","DOM","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","73.064567565918","","","","","","","","","","","","","","","","","","","","","86.996467590332","","","","","88.2444610595703","","","89.5387268066406","90.1063766479492","90.1551818847656","90.8581466674805","91.7637634277344","91.9912109375","93.7784576416016","","",
"Algeria","DZA","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.6308784484863","","","","","","","","","","","","","","","69.8734970092773","","","","72.648681640625","","75.1360473632813","","","","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","64.0199279785156","64.1843032836914","65.303337097168","66.4639663696289","66.9747085571289","68.6784591674805","69.3454132080078","70.8464126586914","71.8939590454102","72.8967437744141","73.8271865844727","75.0742874145508","79.3754119873047","80.0691833496094","79.7988510131836","81.2266387939453","81.7266082763672","82.1846008300781","82.7214202880859","83.2512130737305","83.7814407348633","89.4033203125","89.7712783813477","90.1010131835938","90.5749664306641","90.8547134399414","91.225212097168","91.5894622802734","92.1300964355469","92.4939727783203","92.9178771972656","93.9971008300781","94.2372665405273","94.5392227172852","94.6236572265625","94.4592895507813","94.6835403442383","94.7748107910156","95.1232833862305","95.2526016235352","95.3751907348633","","",
"Early-demographic dividend","EAR","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","48.8136596679688","49.0557098388672","49.6923408508301","50.3267211914063","50.9327583312988","51.004150390625","51.8242683410645","52.7627487182617","53.3785018920898","54.1698303222656","54.8224601745605","55.4687805175781","56.3544387817383","57.1042404174805","57.7925186157227","58.6701583862305","59.1895217895508","60.1995582580566","60.9888305664063","61.7918510437012","62.5846900939941","63.3148918151855","63.972110748291","66.9926986694336","67.6019134521484","68.2621231079102","68.7165603637695","69.3787384033203","70.4130325317383","71.1862564086914","71.087646484375","71.2424621582031","72.1490173339844","73.1498870849609","73.9793319702148","75.2004013061523","74.6903228759766","76.4946365356445","76.9537963867188","77.6761016845703","78.1656036376953","78.6802368164063","","",
"East Asia & Pacific","EAS","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","68.774658203125","68.8706665039063","69.789680480957","70.7418365478516","71.1290130615234","72.5573501586914","73.0846405029297","74.3390274047852","75.2057571411133","76.0413818359375","76.8209228515625","77.8881378173828","81.6378402709961","82.2296600341797","82.0038299560547","83.2517929077148","83.6797103881836","84.0693664550781","84.5305328369141","84.9976806640625","85.4592819213867","90.4182968139648","90.7467880249023","91.0405883789063","91.4602890014648","91.7093124389648","92.0383682250977","92.3622283935547","92.8465881347656","93.1670684814453","93.5426635742188","94.5048370361328","94.71875","94.9885864257813","95.0649795532227","94.9190521240234","95.1205215454102","95.203498840332","95.5164337158203","95.6330108642578","95.7439880371094","","",
"Europe & Central Asia (excluding high income)","ECA","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","94.1260604858398","94.7856063842773","94.9665374755859","95.0232009887695","95.1498794555664","95.2892303466797","95.3740997314453","95.5888671875","95.638557434082","95.7653198242188","95.88623046875","96.0047836303711","96.1278686523438","96.3059310913086","96.4159774780273","96.7380828857422","96.7991561889648","96.9160308837891","96.9927520751953","97.0768890380859","97.1491622924805","97.2936935424805","97.4952087402344","97.4582901000977","97.5520477294922","97.572998046875","98.0822296142578","98.3827285766602","98.6280517578125","98.7535095214844","98.797721862793","98.8264694213867","98.8553619384766","98.922721862793","","",
"Europe & Central Asia","ECS","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.5037536621094","96.7075805664063","96.7677383422852","96.8939971923828","96.939208984375","97.016227722168","97.0914611816406","97.1649932861328","97.2727737426758","97.4035873413086","97.5020523071289","97.7062301635742","97.7822494506836","97.8823471069336","97.9630432128906","98.0286636352539","98.1057434082031","98.1953887939453","98.2781829833984","98.304328918457","98.3382263183594","98.357421875","98.5671920776367","98.7130508422852","98.8701171875","98.9429168701172","98.9803695678711","99.0019226074219","99.0256500244141","99.0686874389648","","",
"Ecuador","ECU","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","83.5526885986328","","","","","","","","88.2987594604492","","","","","","","","","","","90.9840316772461","","","","","","92.0967864990234","92.3900527954102","92.2497634887695","91.8540420532227","91.5868988037109","92.0647277832031","93.2946319580078","94.2226409912109","94.4556579589844","94.350227355957","","",
"Egypt, Arab Rep.","EGY","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","38.1967582702637","","","","","","","","","","44.4239883422852","","","","","","","","","","55.5870018005371","","","","","","","","","71.4088592529297","66.3699111938477","","","","72.0478515625","","73.865592956543","75.0607299804688","","","","71.1682510375977","",
"Euro area","EMU","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.250602722168","97.3156509399414","97.3794403076172","97.4406585693359","97.4954299926758","97.5544662475586","97.6113204956055","97.7244873046875","97.8381500244141","97.94287109375","98.0769729614258","98.1788101196289","98.2806015014648","98.3760833740234","98.427978515625","98.5206298828125","98.5626831054688","98.5464630126953","98.6545028686523","98.6331634521484","98.652099609375","98.6139221191406","98.6477279663086","98.7745208740234","98.8192672729492","98.8647689819336","98.8867034912109","98.9128265380859","98.946533203125","","",
"Eritrea","ERI","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.5139503479004","","","","","","64.662971496582","","","","","","","","","","",
"Spain","ESP","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","92.8097686767578","","","","","","","","","","96.4949722290039","","","","","","","","","","","","","97.1651229858398","97.7506866455078","","97.9388427734375","97.6306076049805","97.6792678833008","97.7489013671875","97.7837524414063","97.8945388793945","98.0791320800781","98.0937194824219","98.1432571411133","98.2505111694336","","",
"Estonia","EST","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.7264404296875","","","","","","","","","","","99.7671966552734","","","","","","","","","","","99.8857879638672","","","","","","","",
"Ethiopia","ETH","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.011360168457","","","","","","","","","","35.9000015258789","29.8203392028809","","38.995979309082","","","","","","","","","","","",
"European Union","EUU","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.6867828369141","97.741096496582","97.7930221557617","97.8414611816406","","97.9316024780273","97.9769897460938","98.0745162963867","98.1709823608398","98.2626113891602","98.3762969970703","98.442253112793","98.5303421020508","98.613639831543","98.6683731079102","98.7472229003906","98.7939834594727","98.7876663208008","98.8633117675781","98.8532028198242","98.8729400634766","98.8892669677734","98.9152221679688","99.0024490356445","99.0349807739258","99.0680694580078","99.0853576660156","99.105339050293","99.1299896240234","","",
"Fragile and conflict affected situations","FCS","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.0344505310059","56.5213088989258","56.6996917724609","57.1144790649414","57.4891510009766","57.9013710021973","58.1163291931152","59.0541915893555","59.5512084960938","60.0570907592773","60.8528289794922","61.7150688171387","62.2051696777344","63.0262794494629","63.8203811645508","64.1543273925781","64.3035125732422","64.6060333251953","64.7939071655273","62.873119354248","62.9323501586914","62.5497589111328","60.6924285888672","60.9942512512207","60.337100982666","60.7912483215332","60.5220718383789","61.3296813964844","61.6816482543945","61.952709197998","","",
"Finland","FIN","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fiji","FJI","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
